epoch,train_loss,test_loss
0,1.993247,1.761871
1,1.337913,1.535617
2,1.084169,1.222025
3,0.966969,1.204904
4,0.869050,1.078888
5,0.803308,1.061435
6,0.761154,0.800325
7,0.715455,0.763722
8,0.694245,0.906024
9,0.663302,0.833093
10,0.649722,0.791002
11,0.609876,0.818623
12,0.593391,0.821714
13,0.564050,0.693340
14,0.572362,0.832653
15,0.561979,0.649283
16,0.529224,0.643297
17,0.529336,0.710791
18,0.512564,0.640507
19,0.490388,0.758023
