epoch,train_loss,test_loss
0,0.986754,1.222129
1,0.591760,0.612289
2,0.501722,0.803689
3,0.498597,0.929305
4,0.408357,0.431920
5,0.402301,0.559701
6,0.357751,0.953393
7,0.376319,0.407804
8,0.309426,0.515949
9,0.320111,0.429724
10,0.312739,0.528569
11,0.319068,0.535276
12,0.265285,0.440847
13,0.272783,0.582374
14,0.291059,0.438237
15,0.276162,0.457817
16,0.255200,0.380841
17,0.275048,0.452345
18,0.255933,0.563937
19,0.219899,0.534179
