epoch,train_acc,test_acc
0,0.274695,0.286062
1,0.433333,0.341572
2,0.528150,0.474878
3,0.599898,0.508104
4,0.641565,0.687196
5,0.665752,0.649109
6,0.704573,0.614263
7,0.720833,0.572528
8,0.736077,0.659238
9,0.747967,0.720421
10,0.764329,0.701783
11,0.778049,0.762156
12,0.789228,0.747164
13,0.797561,0.770665
14,0.805285,0.764992
15,0.818598,0.781199
16,0.824390,0.784846
17,0.829472,0.803079
18,0.840041,0.804295
19,0.841159,0.807942
