epoch,train_loss,test_loss
0,1.529587,1.338627
1,1.071541,1.023112
2,0.935217,0.770882
3,0.841116,0.767360
4,0.822247,1.275528
5,0.754513,0.548581
6,0.712298,0.642208
7,0.685461,0.559173
8,0.676328,0.567131
9,0.638175,0.474629
10,0.607634,0.683904
11,0.607082,0.435463
12,0.586914,0.504933
13,0.549666,0.430713
14,0.552286,0.424507
15,0.533644,0.404908
16,0.521862,0.372925
17,0.496942,0.368755
18,0.495822,0.365084
19,0.479710,0.358250
