epoch,train_acc,test_acc
0,0.522676,0.547357
1,0.692057,0.621145
2,0.756452,0.735683
3,0.801303,0.745595
4,0.803057,0.571586
5,0.827612,0.812775
6,0.843398,0.784141
7,0.852418,0.789648
8,0.855675,0.797357
9,0.875470,0.833700
10,0.883488,0.778634
11,0.890253,0.833700
12,0.889251,0.827093
13,0.909797,0.843612
14,0.904786,0.849119
15,0.912052,0.866740
16,0.917565,0.870044
17,0.925081,0.874449
18,0.929090,0.879956
19,0.936607,0.879956
