epoch,train_acc,test_acc
0,0.674768,0.589207
1,0.794037,0.765419
2,0.823854,0.729075
3,0.827111,0.693833
4,0.859183,0.845815
5,0.851666,0.808370
6,0.875219,0.743392
7,0.869206,0.845815
8,0.892508,0.824890
9,0.884741,0.843612
10,0.885242,0.813877
11,0.892007,0.809471
12,0.906540,0.846916
13,0.901779,0.821586
14,0.900276,0.853524
15,0.903032,0.854626
16,0.905537,0.865639
17,0.903282,0.856828
18,0.911802,0.795154
19,0.921824,0.816079
